planta,fecha_evento,empresa,tipo_evento,descripcion_incidente,danos_reales_o_potenciales,fuente_peligro,es_verificado,fuente_archivo
CD HUACHIPA,2025-02-27,ALICORP,DANO MATERIAL,"Aproximadamente a las 11:30, un operador de montacarga eléctrico realizaba el proceso de almacenaje. Tenía una tarea de cajas de aceites que mandaba al séptimo nivel. Cuando se encontraba colocando la paleta sintió que se atoró, posiblemente por motivo de una caja sobresalida y al no poder seguir ingresando la paleta, optó por sacarla. Sin embargo, ya estaba la paleta sentada sobre el parante y al momento del retroceder alza nuevamente las uñas de la máquina y generó que la paleta se incline por un lado y caiga toda la mercadería.
Afortunadamente no hubo daños personales, pero si materiales.",Daño paleta de aceite,EQUIPO LOGISTICO,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2025-02-27,ALICORP,ALTO POTENCIAL,"Aproximadamente a las 10:58 horas en la enfardeladora de postres (Boato), durante el proceso de embolsado de gelatina, se presentó un amago de incendio en la lámina microperforada. 
Afortunadamente solo hubo daños materiales mínimos ya que el personal reacción rápido para controlar dicho amago.",Potencial incendio ,FUEGO,,tablero_2025_2026
ALMACEN COPSA ENVASES COPSA,2025-02-28,ALICORP,DANO MATERIAL,"Alrededor de las 11:15 horas del 28/02, el operador de ETV al realizar la maniobra para bajar un pallet del cuarto nivel, que tenía un insumo en bidones sin estar empacado de stretch film, pierde equilibrio y se caen 4 bidones del pallet afectando a otros materiales y al piso del almacén por el derrame ocasionado. No se reportó daños personales.",Daño paleta de insumo líquido,EQUIPO LOGISTICO,,tablero_2025_2026
LURIN 3,2025-03-06,INTRADEVCO,ALTO POTENCIAL,"Al promediar las 3:25 am, mientras se realizaba el proceso de recirculación del tanque 4 de [NOMBRE] (HLAS), se produjo la fisura de la sección lateral del manifold N° 2, que inició el derrame del mencionado producto químico. A las 5:00 am se recibió la llamada del agente de seguridad de garita reportando un derrame en la zona de despacho y se activó el plan de contingencias para la contención del derrame.",Intoxicación,SUSTANCIA QUIMICA,,tablero_2025_2026
CD LATAM 600,2025-03-13,ALICORP,DANO MATERIAL,"Aproximadamente a las 8:00 am, el conductor de la empresa Corzev se acercó a su unidad y se percató que el lado lateral izquierdo de la cabina había sido impactado. Inmediatamente, procedió a comunicarse con el almacén para revisar lo sucedido.
En la revisión de las cámaras se observó que la unidad con placa BBX945 de Transportes e [NOMBRE], al momento de estacionarse, fue la causante del impacto.",Daño al camión,EQUIPO LOGISTICO,,tablero_2025_2026
MOLINO PAITA,2025-03-17,MASTERBREAD,DANO MATERIAL,"Aproximadamente a las 15:54 pm. el Operador de Montacarga de [NOMBRE]; realizaba el proceso de trasladar 18 paletas de la zona de paletas limpias a la zona de empaque; el operador al ver que no tenía visibilidad optó por trasladarse en retroceso, sin embargo, cuando estuvo cerca a la puerta, quiso frenar, y en lugar de pisar el freno, presionó el acelerador, impactando la máquina con la puerta elevadiza automática.",Daño a las instalaciones,EQUIPO LOGISTICO,,tablero_2025_2026
CD EL ALTO SENKATA,2025-03-22,ALICORP,ALTO POTENCIAL,"En fecha 22 de marzo, a horas 10:05 am, durante el desprecintado de la compuerta del contenedor de importación para descarguio, el estibador de la empresa tercera BMG corta el precinto naviero con las tenazas donde por la fuerza ejercida al momento del corte una parte del precinto superior sale disparada hacia el rostro del colaborador, el mismo llega a rozar la parte izquierda de la nariz causándole corte superficial. Se procedió a dar primeros auxilios donde se desinfecto la zona de la herida y se puso una banda protectora.",Lesiones,PRECINTO DE CAMION,,tablero_2025_2026
CD AREQUIPA,2025-03-26,ALICORP,DANO MATERIAL,"El día 26 de marzo, a horas 04:10 am, el operador de ETV [NOMBRE] se encontraba terminando una operación en el pasillo 10. Posterior a eso, se le asigna una operación en el pasillo 6, por lo cual se dirige por la parte posterior del almacén (pegado a la pared) a trasladarse desde el pasillo 10 al pasillo 6. El operador, sin carga, inicia el recorrido del elevador con el mástil hacia adelante; cuando en la columna entre el pasillo 8 y 9, golpea con la parte de la batería del elevador un gabinete contra incendio y lo daña. Procede a parar su operación y a reportar lo acontecido. No se generó ningún daño al personal. Se informa a seguridad para validar el mantenimiento correctivo del equipo de emergencia. La investigación se encuentra en curso.",Daño a las instalaciones,EQUIPO LOGISTICO,,tablero_2025_2026
CD AREQUIPA,2025-04-03,ALICORP,DANO MATERIAL,"El día 03 de Abril a las 03:05 pm, el operador de Montacargas de [NOMBRE] en el equipo MYA07 se encontraba cargando la unidad con paletas vacías, eleva la ruma de paletas y al momento de cuadrarla dentro del camión; la última paleta choca con la estructura de la unidad cayendo sobre el mástil del montacarga causando la rotura del faro delantero derecho del equipo, el operador para la maniobra, apaga el equipo y comunica el incidente. El operador no sufrió ningún daño. ",Daño a equipo logístico,EQUIPO LOGISTICO,,tablero_2025_2026
APT GALLETERA,2025-04-04,ALICORP,INCIDENTE,"Al promediar las 11:30 a.m. el operador de combustión [NOMBRE], se encontraba realizando la labor de carga del contenedor a través de una rampa metálica de color azul, cuando terminó de realizar la carga del contenedor, quiso cerrar la llave de este, al no poder alcanzarlo, utilizó como soporte las uñas del montacargas, previamente haberlo apagado, este incidente de alto potencial no ocasionó daños personales en el operador. La investigación continúa en curso.            ",Lesiones ,EQUIPO LOGISTICO,,tablero_2025_2026
