planta,fecha_evento,empresa,tipo_evento,descripcion_incidente,danos_reales_o_potenciales,fuente_peligro,es_verificado,fuente_archivo
APT FIDEERIA,2025-06-08,ALICORP,ALTO POTENCIAL,"El 08/06 aproximadamente a las 07:35 p.m. se reportó un incidente de alto potencial en el APT Fideería. El conductor de la empresa de transportes Pacífico subió a su vehículo estacionado e intentó encenderlo. En ese momento ocurrió un amago de incendio en la zona de baterías ubicada en el lado izquierdo del tracto.
El conductor bajó de la unidad y usó un extintor disponible en las oficinas para apagar el fuego. El evento fue controlado de forma inmediata y reportado al equipo presente.
No hubo personas afectadas y la unidad fue remolcada. La investigación del evento está en curso.",Potencial incendio ,VEHICULO DE CARGA,,tablero_2025_2026
APUDEX,2025-06-13,APUDEX,DANO MATERIAL,"Alrededor de las 12:29 el proveedor Peru BN trasladaban un andamio a la parte externa de la nave 2.
Al momento de trasladarlo no se percataron del espejo panorámico chocando con este y rompiéndose en su totalidad y cayeron residuos del espejo al piso, no hubo lesiones personales
Se paro el trabajo inmediatamente y se cercó el lugar con conos para evitar el tránsito.
Actualmente, el incidente se encuentra bajo investigación.",Daño a las instalaciones,ANDAMIO,,tablero_2025_2026
PREDIO CENTRAL,2025-06-13,ALICORP,POTENCIAL DANO MATERIAL O PERSONAL,"El 13/06 aproximadamente a las 3 p.m. se reportó un incidente de alto potencial en la salida vehicular de Fideería. Una unidad perteneciente a la empresa JMA CARGO impactó con el vehículo de una colaboradora de Alicorp. El vehículo de JMA se encontraba en dirección a la salida vehicular de Fideeria con sus luces de giro en dirección a la Izquierda, en ese momento el vehículo menor se aproximaba para el punto de control de salida. 
Cuando el vehículo se intenta estacionar en el punto de control de salida, la unidad de JMA dobla a la derecha (sentido contrario a lo indicado con las luces) y es donde por el radio de giro de la unidad termina impactando al vehículo menor generando que este sea arrastrado unos metros hacia al costado (Berma).
El incidente ocasionó solo daños materiales, el conductor de la unidad de JMA ha sido bloqueado para el ingreso al predio y la investigación del evento está en curso.",Potencial daño material o personal,VEHICULO DE CARGA,,tablero_2025_2026
SALSAS,2025-06-18,ALICORP,DANO MATERIAL,"A las 13:25 hrs se reporta fuga de agua en ablandador ubicado en el tercer piso de planta, por rotura de unión roscada en válvula. De inmediato se reporta a mantenimiento para el cambio de la válvula. Debido a esta fuga se originó un aniego en el techo de planta evidenciándose filtración en la zona de envasado lo que provocó el desprendimiento del techo de drywall.  No hubo personal afectado",Daño a las instalaciones,EQUIPO DE MANUFACTURA,,tablero_2025_2026
LURIN 1,2025-06-24,INTRADEVCO,ALTO POTENCIAL,"Al promediar las 09:00 horas personal de producción detecta olor a cloro por la zona de tratamiento de efluentes no recuperables. Inmediatamente se procede con la activación del protocolo de emergencias y la evacuación del personal. Las lecturas arrojaron valores por debajo de 1.25 ppm.
Producto del evento, una persona fue derivada al tópico para atención y posteriormente se reincorporó a sus actividades.",Potencial daño material o personal,SUSTANCIA QUIMICA,,tablero_2025_2026
PREDIO CENTRAL,2025-06-26,ALICORP,ALTO POTENCIAL,"El 26/06 aproximadamente a las 10:30 a.m. se reportó un incidente de alto potencial en la zona de descarga de ácido sulfónico del predio [NOMBRE] momento de ingresar a la zona para la descarga del material, la Unidad de Transporte impacta con posapié de ascenso a cabina la tranquera de acceso, la cual no se encontraba completamente abierta.
Este evento fue alertado por el supervisor de seguridad patrimonial del predio, dando conocimiento a seguridad industrial y al responsable del área.
Se hizo una prueba de dosaje etílico al chofer la cual salió negativo.
El incidente ocasionó daños materiales leves.",Daño a las instalaciones,VEHICULO DE CARGA,,tablero_2025_2026
SALSAS 1 – COPSA,2025-07-01,ALICORP,ALTO POTENCIAL,"El día de hoy, aproximadamente a las 00:02 a.m., cuando operadora de manufactura se encontraba elaborando mayonesa, escucha un fuerte sonido, producto de la ruptura de una las ventanas de vidrio templado que se tiene en el área. Parte del vidrio templado cae sobre el piso de manufactura, sin afectación del personal.
Acciones inmediatas:
La operadora, acciona la botonera de emergencia para comunicar el incidente y tomar las medidas pertinentes. El ingeniero de turno coordina con la líder y el inspector de seguridad, las medidas necesarias para asegurar el área y poder reiniciar activades.
Situación actual:
El incidente se encuentra en proceso de investigación. ",Potencial daño material o personal,VENTANA DE VIDRIO,,tablero_2025_2026
PLANTA HIPOCLORITO – LURIN N° 1,2025-07-01,INTRADEVCO,ALTO POTENCIAL,"Al promediar las 05:20 horas, durante el proceso de arranque de producción de hipoclorito de sodio se inició la succión de efluentes de la poza hacía los tanques de neutralización correspondiente. Durante esta operación el operador percibe el gas Cloro por los tanques de efluentes no recuperables.
Inmediatamente se procede con la activación del protocolo de emergencias y la evacuación del personal. Las lecturas arrojaron valores hasta 10ppm
No se registraron personas afectadas.
Se procede con la investigación del evento",Intoxicación,SUSTANCIA QUIMICA,,tablero_2025_2026
PLANTA FRASCOS– COPSA,2025-07-03,ALICORP,ALTO POTENCIAL,"El día de hoy, alrededor de las 06:45 a.m., mientras los operarios del área de encajado realizaban sus actividades con normalidad, se escuchó un fuerte ruido . Al verificar el origen del sonido, el personal identificó la rotura de una ventana de vidrio templado.
Acciones inmediatas:
•	Se detuvo la operación de forma inmediata.
•	Se delimitó el área afectada para garantizar la seguridad del personal.
•	Se retiraron los restos de vidrio para evitar riesgos de contaminación y accidentes.
•	Los materiales del proceso de encajado fueron rotulados y retirados de la planta como medida preventiva.
Situación actual:
El incidente se encuentra en proceso de investigación para determinar la causa raíz y establecer las acciones correctivas necesarias.",Potencial daño material o personal,VENTANA DE VIDRIO,,tablero_2025_2026
MOLINO PAITA,2025-07-03,MASTERBREAD,ALTO POTENCIAL,"Durante el proceso de descarga de trigo se alertó de un olor extraño en la zona de 5to piso al ingreso de zona de silos de concreto; se dio aviso al área de calidad para realizar las mediciones de fosfamina-PH3 con el equipo Dragër en toda la instalación del molino, obteniendo valores mayores a cero en 2 puntos críticos: sótanos de silos de concreto y 5to piso sobre los silos de concreto (manhole). Se realizaron diversas mediciones en planta, tolvas de descarga, hangares de almacenamiento (empresa tercera) y en las cámaras de la nave de importación y se determinó que la presencia de fosfamina estaba en el trigo a granel, el mismo que fue fumigado previo al envío de la nave.
Acciones inmediatas:
•	Se bloquearon los accesos a las zonas críticas identificadas.
•	Se paró la descarga de trigo y se envió al almacén tercero.
•	Se realizaron mediciones periódicas de las concentraciones de fosfamina.
•	Se realizó ventilación forzada con un extractor de aire en las áreas críticas identificadas (sótanos).
Situación actual:
Las áreas críticas se encuentran en medición periódica cada 2 horas de las concentraciones de fosfamina hasta asegurar una concentración de 0 ppm. Finalmente, se están realizando las investigaciones respectivas junto al equipo de importación de MMPP para reforzar el flujo de información y tomar medidas preventivas en el caso se requiera.",Intoxicación,SUSTANCIA QUIMICA,,tablero_2025_2026
PREDIO CENTRAL,2025-07-04,ALICORP,ALTO POTENCIAL,"El 04/07 aproximadamente a las 08:30 a.m. se reportó un incidente de alto potencial en el almacén IN01 en EEII Detergentes.
Al momento de almacenar el insumo granel Oxiper SHC - Percarbonato de Sodio, en el 6to nivel de anaquelería acumulativa, se oye un ruido atípico y el pallet cae hasta el primer nivel.
A nivel personal, el operador fue trasladado al tópico donde se confirmó su óptimo estado de salud; a nivel proceso, se bloqueó el acceso al pasillo afectado hasta el término de las labores de limpieza. 
Este evento fue alertado por el equipo y, junto con el equipo de seguridad industrial, realizamos un [NOMBRE] en las operaciones. 
El incidente ocasionó daños materiales (1Big Bag de mercadería no operativa).
La investigación del evento está en curso, los mantenemos al tanto de la misma.",Potencial daño material o personal,MERCADERIA ALMACENADA,,tablero_2025_2026
APUDEX,2025-07-11,APUDEX,ALTO POTENCIAL,"Alrededor de las 10:14 am la empresa de transporte TACSA, al momento de retroceder para salir a su ruta para [NOMBRE], no se percata y choca con uno de los parantes de acceso peatonal, generando el deterioro de este parante (roto) ",Daño a las instalaciones,VEHICULO DE CARGA,,tablero_2025_2026
CD LAMBAYEQUE,2025-07-11,ALICORP,ALTO POTENCIAL,"El día viernes 11 de julio del 2025 a las 08:39 horas el personal de vigilancia [NOMBRE] de la empresa CASEVIP, proveedor de servicios de seguridad a RANSA  llama al chofer [NOMBRE] de la empresa TRANSCOM para que ingresara a  realizar la descarga  de productos al CD [NOMBRE], después de unos minutos se procede con el ingreso y antes de que ingrese en su totalidad el portón mecánico colisiona con la parte trasera izquierda de dicha unidad los daños son para ambas partes la unidad queda golpeada y con platinas rotas y el portón raspado doblado y descentrado.  ",Daño a las instalaciones,VEHICULO DE CARGA,,tablero_2025_2026
INTRACAN,2025-07-11,INTRADEVCO,ALTO POTENCIAL,"Alrededor de las 3:15 pm del 11/07 el operador de transpalet eléctrico procedió a aperturar la rampa N°6 para realizar un despacho. Presionó el botón para elevar la puerta y justo antes de que se aperture en su totalidad evidencia que el cable del riel izquierdo se rompe, en ese momento el operador presiona el botón de stop para parar la operación; al momento de presionarlo se desprendió un pasador del riel derecho de aproximadamente 4 m de altura que cae e impacta en la cabeza del operador que en ese momento tenía el casco de seguridad. El operador procede a reportar el incidente al supervisor y al monitor de turno.

Consideraciones:
•	No se presentaron daños personales.
•	El incidente se encuentra en investigación.",Potencial daño material o personal,PUERTA ENROLLABLE,,tablero_2025_2026
PLANTA HIPOCLORITO – LURIN N° 1,2025-07-12,INTRADEVCO,ALTO POTENCIAL,"El día sabado 12.07.2025 a las 13.09 horas el conductor [NOMBRE] de la empresa TRANSPORTES RODRICK con el tracto AFG907 y la carreta D6A991 se encontraba realizando traslados de PT entre los centros Planta 1 Lurín -Intracloro. Al momento de llegar al último predio mencionado, al ingresar de retroceso (forma de ingreso regular) el conductor impactó el porton de ingresó con la parte derecha de la carreta. Se tuvo daños en el transporte y en el porton. Se procederá con la investigación al respecto.",Daño a las instalaciones,VEHICULO DE CARGA,,tablero_2025_2026
DETERGENTES CALLAO,2025-07-12,ALICORP,ALTO POTENCIAL,"El sábado 12/07 aproximadamente a las 02:55 AM, se presenta un corto en la mordaza de la enfardadora 2003, generando que la lámina plástica de enfardado se empiece a quemar, en ese instante el operador del equipo activa la parada de emergencia y utiliza un extintor de PQS para apagar las llamas incipientes.
Se comunica el hecho al área de mantenimiento para el desenergizado y bloqueo del equipo.
El evento se encuentra en proceso de investigación.",Potencial incendio ,EQUIPO DE ENVASADO,,tablero_2025_2026
LABORATORIO MICROBIOLOGIA - PREDIO CENTRAL,2025-07-15,ALICORP,ALTO POTENCIAL,"Alrededor de las 07 am del 15/07, personal del laboratorio de Microbiología que iniciaba sus labores se percata un olor a quemado en la sala de Lavado de Materiales, encontrando que uno de los autoclaves empleados para la esterilización de desechos tenía hollín por fuera. 
Al abrir el equipo, se evidenció que el material al interior del equipo se encontraba chamuscado.
El equipo en mención estuvo en funcionamiento a las 10:15 pm del 14/07, momento en que el personal del 2do turno lo deja en modo termostato, pero, por razones que se encuentran en investigación, posteriormente la temperatura aumentó sin control, ocasionando el incidente mencionado, aproximadamente entre la 01:00 am y las 03:00 am del 15/07.
Consideraciones:
No se presentaron daños personales.
El incidente se encuentra en investigación.",Potencial incendio ,EQUIPO DE LABORATORIO,,tablero_2025_2026
PLANTA COCHABAMBA,2025-07-18,ALICORP,ALTO POTENCIAL,"El día miércoles 16 de julio de 2025, durante la operación de carguío de producto terminado en el segundo turno, el colaborador encargado de conducir el montacargas detectó que una de las llantas de la máquina se encontraba pinchada. Por tal motivo, se suspendió el uso del equipo a la espera de su reparación al día siguiente.
El día 17 de julio, el colaborador del primer turno constató que la llanta se encontraba completamente desinflada, lo que impedía el uso del gato hidráulico para su remoción. Por esta razón, se utilizó otro montacargas para elevar la máquina y se colocaron tacos de madera con el fin de retirar la llanta y proceder con su reparación.
Se está realizando la investigación para determinar las acciones correspondientes.",Potencial daño material o personal,EQUIPO LOGISTICO,,tablero_2025_2026
APT FIDEERIA,2025-07-21,ALICORP,ALTO POTENCIAL,"El analista de turno se encontraba haciendo el inventario de balones de gas de la jaula cuando notó que de uno de ellos empezó a fugar gas. En ese momento pulsó la alarma contra incendios, y el equipo de inspectores de SSOMA llegó al lugar de inmediato. Se procedió con el aislamiento del balón, validaron que la fuga no continúe e identificaron que el acople que conecta el balón con la válvula de alivio se encontraba deteriorado. Debido a ello se realizó el vaciado del balón. El evento continúa en investigación. No se registraron daños personales. ",Explosión de balón de gas,BALON DE GLP,,tablero_2025_2026
LURIN 4,2025-09-01,INTRADEVCO,ALTO POTENCIAL,"Aproximadamente a las 07:40 p.m. del 1/09, durante el proceso de secado en la planta detergente Lurin, se produjo un desacople de los elementos de sujeción de las tuberías que transportan la pasta del detergente hacia el interior de la torre de secado, generando que esta salga expulsada antes de entrar a la torre de secado. El operador del área cierra la válvula para detener el derrame y da aviso a la sala de control para detener la operación. No se registraron daños personales.",Lesiones,INSUMOS EN POLVO,,tablero_2025_2026
CD HUACHIPA,2025-09-08,TERCERA,ALTO POTENCIAL,"Aproximadamente a las 07:40 p.m. del 8/09, durante el proceso de instalación de stickers en la nave de CD Huachipa, a cargo de las contratistas WC y Segecon, no se percataron y dejaron un taco en la base del tijeral, el mismo que al descender presiono el taco y lo proyecto hacia la parte externa.
Se detuvieron los trabajos, hasta que las contratistas envíen su plan de acción, así mismo, ambas contratistas deberán reevaluar la documentación presentada en campo. ",Lesiones,TACO DE VEHICULO,,tablero_2025_2026
CD BOLIVIA,2025-09-12,TERCERA,ALTO POTENCIAL,"El dia 12/09/2025 a las 23:00 hras aproximadamente, a través de las cámaras de video vigilancia se evidenció que, una vez concluida la carga de la unidad de transporte 4505-CLL y durante el proceso de encarpado, el conductor [NOMBRE] realiza una maniobra con un alto nivel de riesgo: 
Ascendió por la parte posterior del furgón hasta llegar a la parte superior de la unidad sin contar con un sistema de protección contra caídas. En todo momento se observó que no portaba arnés de seguridad ni se encontraba conectado a una línea de vida, exponiéndose a un riesgo elevado de accidente.

Esto representa un acto inseguro con alto potencial de caída a desnivel. Esta situación constituye una falta al cumplimiento de las medidas de seguridad establecidas para trabajos en altura, generando un riesgo significativo tanto para la integridad del conductor como para la operación misma.",Lesiones o fatalidad,ACTO INSEGURO,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2025-09-16,ALICORP,ALTO POTENCIAL,"El 16 de septiembre, a las 08:00 horas, mientras un trabajador de empresa contratista operaba un equipo de manipulación de cargas (Tawi) para levantar un saco de azúcar, el equipo se desprendió de su sistema de anclaje y cayó de forma repentina.",Potencial daño material o personal,EQUIPO DE MANUFACTURA,,tablero_2025_2026
CD AREQUIPA,2025-09-22,ALICORP,DANO MATERIAL,"El día 22/09/2025 a las 11:22 horas aproximadamente, en el Centro de [NOMBRE] se presentó un incidente de alto potencial. Durante el traslado en Montacarga de una paleta de harina destinada a despacho en el Anexo 4, el personal detectó que la carga se inclinaba hacia el lado izquierdo, por lo que procedió a detener la operación de manera inmediata.
Al realizar la inspección correspondiente, se evidenció que una de las uñas del montacargas se había fracturado internamente, presentando signos de corrosión no visibles en la parte exterior. Como consecuencia directa, se produjo la caída de 17 sacos de harina al suelo.
Es importante considerar que el operador no realizó una maniobra inadecuada ni se registró ningún tipo de impacto o colisión con la unidad. En este caso, se percibe que la falla estuvo asociada al desgaste interno de la uña, el cual no era perceptible a simple vista. Nos encontramos en proceso de investigación.",Daño a las instalaciones,EQUIPO LOGISTICO,,tablero_2025_2026
APUDEX,2025-09-24,APUDEX,ALTO POTENCIAL,"Alrededor de las 07:50 am la empresa de transporte [NOMBRE], quien venia de [NOMBRE] para dejar productos terminados, al momento de retroceder para ingresar a la zona de espera, no se percata y choca con uno de los parantes de acceso peatonal.
generando la rotura del mismo.",Potencial daño material o personal,VEHICULO DE CARGA,,tablero_2025_2026
LURIN 4,2025-09-29,INTRADEVCO,ALTO POTENCIAL,"Durante el proceso de extracción de mercadería para despacho a planta, se produce la caída de bobinas desde el quinto nivel sobre pallets con envases, quedándose 04 de ellas sobre un pallet en el cuarto nivel que luego fueron retiradas tomando las medidas respectivas de seguridad.
Según protocolo, el operador fue atendido en tópico donde se corroboró que no tuvo ningún tipo de daño.
La investigación se encuentra en curso.",Potencial daño material o personal,MERCADERIA ALMACENADA,,tablero_2025_2026
PLANTA HIPOCLORITO – LURIN N° 1,2025-09-30,TERCERA,ALTO POTENCIAL,"Alrededor de las 16:20 hrs, la empresa TRANSVIDA procedía a levantar una caja ecológica con el intercambiador, cargada de calaminas proveniente del retiro del techo parabólico de la nave ex Reciclaje PET. Al proceder a izar la carga, sufre una inclinación quedando en la posición mostrada en la imagen.

Se procedió a detener los trabajos, activar plan de emergencia de proveedor y reposicionar la caja ecológica.

No se registraron daños personales.
",Potencial daño material o personal,VEHICULO DE CARGA,,tablero_2025_2026
CD RANSA,2025-10-02,RANSA,ALTO POTENCIAL,"[NOMBRE] de combustión realizó el retiro de una paleta del bloque de harinas puesta en segundo nivel sin considerar que había una paleta más encima. Al cargar ambas paletas y moverlas generó inestabilidad y parte del producto de la segunda paleta cae contra el piso y el montacargas. Se validó que el personal no tiene ningún daño, sólo hay daño material. Junto con el equipo de HSE de Ransa y el Supervisor de turno [NOMBRE].

Como acciones iniciales se tomaron acciones:
- Cerrar la zona
- Realizar el recojo y limpieza del producto y la zona
- Coordinar con proveedor de montacargas para revisión y retiro del montacargas
- Derivar al colaborador con el área de HSE y dar por finalizado su turno.",Lesiones incapacitantes,EQUIPO LOGISTICO,,tablero_2025_2026
CHORRILLOS,2025-10-02,INTRADEVCO,ALTO POTENCIAL,"Aproximadamente a las 19:20 h, se produjo una mezcla accidental entre el granel Desatorador de Baño (hipoclorito de sodio al 10.5%) y el granel Desmanchador de Ropa (peróxido de hidrógeno al 50%), generando una reacción química con liberación de oxígeno y formación abundante de espuma, la cual se desbordó del tanque de elaboración y se extendió hasta el patio de planta.
El incidente no ocasionó daños personales y se encuentra actualmente en proceso de investigación para determinar las causas y acciones preventivas correspondientes",Derrame,MEZCLA ACCIDENTAL DE QUIMICOS,,tablero_2025_2026
CDC,2025-10-03,RANSA,ALTO POTENCIAL,"El operador del equipo [NOMBRE], mientras realizaba el traslado de mercadería por la rampa de acceso desde la [NOMBRE] hacia la [NOMBRE], informó que la máquina perdió potencia y se apagó repentinamente. Ante esta situación, el operador procedió a activar el botón de emergencia, sin embargo, este no respondió. Como resultado, el equipo rodó cuesta abajo sin control, hasta colisionar con la baranda de seguridad.

[NOMBRE]:

Se verificó inmediatamente el estado de salud del operador, sin presentarse lesiones ni afectaciones a su integridad física. El incidente resultó únicamente en daños estructurales al equipo y a la infraestructura.

El operario procedió llenar la hoja de testimonio y posterior a ello su traslado al tópico para evaluar su condición. Se han solicitado cámaras de seguridad de la zona para evidenciar el acto e investigación. Se realizó la charla de seguridad por el evento con los operarios.",Lesiones o fatalidad,EQUIPO LOGISTICO,,tablero_2025_2026
SIDSUR,2025-10-06,ALICORP,ALTO POTENCIAL,"Se recibió el reporte de un colaborador que identificó restos de concreto en el piso de la zona de tránsito peatonal adyacente al silo de concreto. Tras la verificación en campo, se confirmó que el material provenía del borde superior del silo. No se registraron daños personales ni materiales. El incidente ha sido clasificado como de alto potencial y se encuentra en proceso de investigación.",Lesiones incapacitantes,SILO DE CONCRETO,,tablero_2025_2026
LURIN 1,2025-10-07,INTRADEVCO,ALTO POTENCIAL,"Durante la producción de hipoclorito de sodio (10.5%), el sistema SCADA no permitía realizar funciones de control con los equipos de plantas, deteniendo automáticamente todos los equipos. Al inactivarse los equipos, dentro de ellos la bomba del Scrubber (Soda caustica) y el sistema de extracción, se origino fuga de gas cloro que fue detectado por los sensores. 

Como parte del protocolo, se activó el pulsador manual para la evacuación del personal hacia la zona segura.

El personal de instrumentación intervino de forma oportuna, procediendo a activar manualmente el lavador de gases y el sistema de extracción para controlar la emisión de gas cloro.

Se procedió con el protocolo de evaluación medica preventiva a todo el personal (74 personas entre propios y terceros) y se identificaron 19 personas son afectaciones leves que están en seguimiento médico.",Intoxicación,CLORO,,tablero_2025_2026
DETERGENTES LURIN,2025-10-29,INTRADEVCO,DERRAME DE PASTA,"Aproximadamente a las 04:30 p.m. del 29/10, durante el proceso de batido de detergente, se produjo el rebalse de pasta neutralizada del tanque autolimpiante, generando el derrame de esta sobre la estructura y el piso. Una vez identificado el derrame, desde la Sala de Control se detuvo el proceso de batido. No se registraron daños personales ni materiales.",Derrame,PASTA NEUTRALIZADA,,tablero_2025_2026
SIDSUR,2025-10-30,ALICORP,ALTO POTENCIAL,"El hornero de turno tarde reportó que se tenía presencia de humo en la salida del horno de la línea 2, la línea se encontraba minutos previos al arranque de un SKU, pero aún no se había ingresado masas al horno.
Posterior a ello se le comunicó al área de seguridad con quién se acudió al punto y en ese proceso se activaron las alarmas sonoras, solicitando soporte de brigadistas para realizar la evaluación y brindar la atención del incidente.
En el lugar se realizó el retiro de la galleta de la parte baja de la malla y se utilizó un extintor para detener las brasas de la galleta, con el soporte de los inspectores de seguridad y personal de elaboración, se controlaron las trazas de brasas y con ello de disipó el humo del ambiente.",Potecial incendio,HORNO DE GALLETAS,,tablero_2025_2026
MARGARINAS Y MANTECAS,2025-10-30,ALICORP,ALTO POTENCIAL,"El día 30 de octubre aproximadamente mediodía se reportó un incidente de alto potencial en el área de margarinas ubicada en planta Copsa.  Durante la recirculación de producto en la línea de mantecas 1 se activa la válvula de alivio de la unidad de amoniaco 2 del cristalizador Kombinator 1 lo cual origina que por un momento se emane el gas al medio ambiente. 
 
Al identificarse la activación de la válvula de alivio, se evacuó al personal de planta siguiendo el protocolo de emergencia vigente. 
 
El incidente se encuentra en investigación.",Intoxicación,EQUIPO DE CRISTALIZACION,,tablero_2025_2026
DETERGENTES CALLAO,2025-10-31,ALICORP,ALTO POTENCIAL,"Aproximadamente a las 10:00 p.m. del 31/10, durante el cambio de balones de GLP de un montacargas de combustión, se produjo la fuga de gas por uno de los balones que abastece al equipo. Al detectar la fuga, el operador procede evacuar y comunicar del evento a personal [NOMBRE], los cuales controlan el incidente. 
No se registraron daños personales ni materiales.
El incidente se encuentra en proceso de investigación.",Explosión de balón de gas,BALON DE GLP,,tablero_2025_2026
CD HUACHIPA,2025-11-04,ALICORP,ALTO POTENCIAL,"En CD Huachipa, a la 1:50 am un operador de ETV estuvo realizando una maniobra de extracción del 7mo nivel, durante la actividad, no calculó bien y levantó el travesaño superior, generando un desprendimiento de este. En ese momento el OMSUP le dio soporte para sostener la base y liberar los pallets que se encontraban en ubicación. No hubo daño del personal, pero sí del rack. Se tiene bloqueada la zona para evitar el tránsito.

Se le ha tomado el testimonio al colaborador y se procederá a realizar la investigación pertinente.",Lesiones o fatalidad,EQUIPO LOGISTICO,,tablero_2025_2026
PREDIO CENTRAL,2025-11-07,WESTFALIA,ALTO POTENCIAL,,Atropello,AUTO DE TRANSPORTE,,tablero_2025_2026
CD HUACHIPA,2025-11-08,ALICORP,ALTO POTENCIAL,"Al finalizar una extracción en el pasillo 10 - 106 - 1 (nivel 1) el Operador de ETV al realizar un giro para continuar con su trayectoria, ocasionó que cayeran 3 baldes de la paleta por no tener un Stretch film correctamente ajustado. Se procedió a realizar el bloqueo del área y la limpieza correspondiente con el proveedor Cleaned. El operador no cuenta con daño personal y el producto fue llevado al área de PNC. 



Se reforzó con el colaborador tener mayor cuidado al momento de maniobrar y validar la condición del producto. ",Lesiones o fatalidad,EQUIPO LOGISTICO,,tablero_2025_2026
COPSA REFINERIA,2025-11-08,ALICORP,ALTO POTENCIAL,"Alrededor de las 9:30 hrs, el líder y el operador de la planta de [NOMBRE] detectan un olor a quemado en el primer nivel de la planta.
Revisando los equipos, observan gran cantidad de humo que se emana del aislamiento de la parte superior del tanque precapa T602 de la planta [NOMBRE] 1.
Realizando la comunicación respectiva a la jefatura y al inspector de seguridad, se decide detener el proceso y se atiende la emergencia activando todos los protocolos de seguridad establecidos, logrando controlar la humareda mediante adición de agua caliente.
El evento queda en investigación.",Incendio,AISLAMIENTO,,tablero_2025_2026
APT FARINACEOS,2025-11-10,ALICORP,ALTO POTENCIAL,El colaborador había dejado su equipo estacionado en su puesto de trabajo y cuando retornó se dio cuenta que el balón de gas back up colocado en el montacargas tenía fuga y la válvula de alivio se había criogenizado. El balón se encontraba sellado al momento de la fuga. El colaborador avisó al inspector de SSOMA que se encontraba en la zona y se procedió a activar la brigada de la planta [NOMBRE]. El personal fue evacuado y se controló el incidente. No hubo daños personales. El evento continúa en investigación.,Explosión de balón de gas,BALON DE GLP,,tablero_2025_2026
APT FIDEERIA,2025-11-10,ALICORP,ALTO POTENCIAL,"El colaborador se encontraba cargando un camión de traslado en el patio de maniobras del APT Fideería, cuando una unidad de cliente recoge de afrecho trató de girar dentro del mismo patio e impactó con la parte trasera del montacargas. El evento continúa en investigación",Lesiones o fatalidad,EQUIPO LOGISTICO,,tablero_2025_2026
SIDSUR,2025-11-10,ALICORP,ALTO POTENCIAL,"El hornero de turno tarde reportó que se tenía presencia de un amago de incendio en la zona superior del horno a la altura del extractor de aire N° 1 en la línea 2. De manera inmediata se apagó, se desenergizó y bloqueó el equipo; la línea contigua se detuvo debido a la presencia de humo y se activó la comunicación incluyendo a brigadistas dentro de planta. Posteriormente, se controló el amago utilizando el extintor del caso, se solicitó la presencia del equipo de mantenimiento para poder aperturar los equipos necesarios e identificar la cauda raíz del orígen del amago, en esta apertura se detectó trazas de lana de roca y presencia de remanente de grasas.",Incendio,MATERIAL COMBUSTIBLE SOLIDO,,tablero_2025_2026
CD BOLIVIA,2025-11-11,ALICORP,ALTO POTENCIAL,"En fecha 11 de octubre de 2025 a horas 18:40, el operador del montacarga TOWMOTOR GP255 realizaba traslado de racks móviles vacíos dentro de la zona de almacenaje como parte de la operación regular.

Durante la actividad, el operador no se percata de la presencia de un pallet con detergente en polvo (peso aprox. 500 kg) ubicado en el tercer nivel del apila pallet, estructura metálica diseñada para almacenamiento de producto terminado.

El apila pallet se encontraba parcialmente obstruido por la base de la estructura posterior, lo que ocasionó la detención inmediata de la operación, evitando una posible caída de carga o daño material. Ante la situación, se estabilizó la estructura y se procedió al retiro controlado del pallet sin incidentes ni daños personales o materiales.

La investigación se encuentra en curso para identificar las causas raíz y establecer medidas preventivas orientadas a mejorar la visibilidad de carga y el control de condiciones en altura.",Lesiones o fatalidad,EQUIPO LOGISTICO,,tablero_2025_2026
MOLINO FAUCETT,2025-11-14,ALICORP,ALTO POTENCIAL,"Siendo aproximadamente las 11:00 hr. se percibe un olor a quemado en el sector del Envasado de [NOMBRE]. Se procede a la inspección de las diferentes áreas de las líneas productivas, encontrándose que el mismo provenía del almacén de envases e insumos, donde se detecta que unos envases de cartón contenidas en una parihuela habían tenido un proceso de ignición pero que ya se encontraba sofocado. El evento se encuentra en proceso de investigación.",Incendio,MATERIAL COMBUSTIBLE SOLIDO,,tablero_2025_2026
CDC,2025-11-15,ALICORP,ALTO POTENCIAL,"Aproximadamente a las 7:00 p. m., se presentó un incidente de alto potencial. Durante el proceso de almacenaje de una paleta de aceite, en el quinto nivel del rack acumulativo, la paleta impactó la base del rack, ocasionando el desprendimiento de una de las tablas inferiores y generando la desestabilización y caída de la carga. Es importante destacar que el operador no sufrió lesiones.",Lesiones o fatalidad,EQUIPO LOGISTICO,,tablero_2025_2026
PREDIO CENTRAL,2025-11-17,TRANSPORTES FERMIN,DANO AMBIENTAL,"El día 17 de noviembre, aproximadamente a las 6:30 p.m., se recibió una llamada del Supervisor de G4S informando sobre una fuga de petróleo. Tras el reporte, se confirmó la presencia del derrame en la zona indicada.
Placa del vehículo:  C9Q-812
Empresa: Transportes  FERMIN",Derrame de petroleo,VEHICULO DE CARGA,,tablero_2025_2026
